time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1650972484919,MATH 20E,A01,084138,Staff,6,0,30,24
1650972484919,MATH 20E,A02,084139,Staff,0,0,30,30
1650972484919,MATH 20E,A03,084140,Staff,10,0,30,20
1650972484919,MATH 20E,A04,084141,Staff,15,0,30,15
1650972490954,MATH 102,A01,084143,Harel; Guershon,2,0,30,28
1650972490954,MATH 102,A02,084144,Harel; Guershon,17,0,30,13
1650972496982,MATH 103B,A01,083456,Staff,0,20,30,30
1650972496982,MATH 103B,A02,083457,Staff,0,20,30,30
1650972503013,MATH 109,A01,084146,Salehi Golsefidy; Alireza,12,0,30,18
1650972503013,MATH 109,A02,084147,Salehi Golsefidy; Alireza,7,0,30,23
1650972509043,MATH 120A,A01,085445,Eggers; John Dietrich,0,0,35,35
1650972509043,MATH 120A,A02,085446,Eggers; John Dietrich,15,0,35,20
1650972515083,MATH 142B,A01,084149,Verstraete; Jacques Allan,0,15,30,30
1650972515083,MATH 142B,A02,084150,Verstraete; Jacques Allan,0,14,30,30
1650972521113,MATH 170A,A01,083459,Nie; Jiawang,0,20,30,30
1650972521113,MATH 170A,A02,083460,Nie; Jiawang,0,18,30,30
1650972521113,MATH 170A,A03,083461,Nie; Jiawang,0,18,30,30
1650972527150,MATH 193B,A01,083463,Staff,0,0,30,30
1650972527150,MATH 193B,A02,083464,Staff,5,0,30,25
1650972527150,MATH 193B,A03,083465,Staff,15,0,30,15
1650972533216,COGS 2,A01,083966,Boyle; Mary E. T.,1,2,31,30
1650972539248,COGS 9,A01,083968,Staff,1,15,60,59
1650972545281,COGS 14B,A01,083970,Staff,6,0,65,59
1650972551311,COGS 17,A01,092679,Staff,17,0,75,58
1650972557341,COGS 100,A01,083972,Staff,0,29,60,60
1650972569405,COGS 101C,A01,083976,Staff,0,1,30,30
1650972575435,COGS 102A,A01,083978,Johnson; Christine M.,0,8,30,30
1650972581464,COGS 107B,A01,083980,Staff,0,19,50,50
1650972587494,COGS 115,A01,083982,Staff,6,0,30,24
1650972593521,COGS 118B,A01,083367,Staff,0,23,40,40
1650972599549,COGS 172,A01,083984,Provenzano; Emily Kara,8,0,30,22
1650972605582,COGS 177,A00,083368,Tung; Janet C,0,27,30,30
1650972611612,COGS 186,A01,083986,Staff,11,0,40,29
1650972617643,COGS 187A,A01,083988,Boyle; Mary E. T.,0,9,60,60
1650972623688,CSE 8A,A50,084003,Miranda; Gregory Joseph,0,27,15,15
1650972629723,CSE 11,A01,084005,Miranda; Gregory Joseph,0,45,55,55
1650972635760,CSE 20,A01,084007,Briones; Jor-el Thomas Caparas,0,9,20,20
1650972641794,CSE 21,A01,084009,Braun; Oliver,0,43,50,50
1650972647828,CSE 30,A01,083370,Cao; Yingjun,0,72,40,40
1650972653858,CSE 100,A01,083372,Cao; Yingjun,0,67,40,40
1650972659887,CSE 101,A01,084011,Braun; Oliver,0,84,40,40
1650972665920,CSE 141,A01,083374,Eldon; John,2,4,150,148
1650972671953,CSE 141L,A01,083376,Eldon; John,0,11,150,150
1650972677983,CSE 175,A01,084013,Kumar; Rakesh,17,0,25,8
1650972684016,CSE 190,A00,092508,Dubnov; Shlomo,13,0,20,7
1650972690044,ECE 5,A01,084049,Morris; Karcher William,9,0,20,11
1650972696081,ECE 100,A01,084051,Baghdadchi; Saharnaz,0,1,20,20
1650972696081,ECE 100,A02,091916,Baghdadchi; Saharnaz,5,0,20,15
1650972702118,ECE 101,A01,084053,Baghdadchi; Saharnaz,1,0,37,36
1650972702118,ECE 101,A02,084054,Baghdadchi; Saharnaz,14,0,37,23
1650972708148,ECE 107,A01,083390,Staff,22,0,40,18
1650972714176,ECE 148,A01,084056,Silberman; Jack,2,0,12,10
1650972720214,ECE 180,A00,083391,Abi Samra; Nicholas Camill,22,0,30,8
1650972720214,ECE 180,B00,083392,Abi Samra; Nicholas Camill,14,0,30,16
1650972726240,MATH 10A,A01,093431,Staff,0,1,0,0
